configuration,day,LOLE,EENS,CURE,ECUR,EOV,EΔOV,objective_value_uc,EOPEX,EOPEX_uc,ELGEN,mu
base_ramp_storage_envelopes_up_0_8_dn_0_8,4,0.0,0.0,0.0,4.957700916463637e-13,981452.0521268041,-448.11995850026375,981900.1720853039,981452.0407678029,981900.160726304,4960.744022756479,0.8
base_ramp_storage_envelopes_up_1_dn_1,4,0.0,0.0,0.0,4.957700916463637e-13,988233.1535386324,-536.7633496811438,988769.9168883119,988233.1421796314,988769.9055293101,5721.184186840967,1.0
base_ramp_storage_envelopes_up_0_dn_0,5,1.96,256.1511447382186,0.0,-3.4439118223872356e-13,3.507923699212373e6,2.5615273005241957e6,946396.3986881773,946412.2406243847,946396.387482375,188.3347389275132,0.0
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,0.1,9.386613111086547,0.0,-1.9628743075372768e-13,1.0402022939549562e6,93805.89526677958,946396.3986881773,946336.15163829,946396.387482375,1195.9891315070242,0.2
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,0.0,0.0,0.0,-1.9628743075372768e-13,946219.0336729776,-177.36501519870012,946396.3986881773,946219.0224671774,946396.387482375,2408.330040620693,0.4
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,0.0,0.0,0.0,-1.9628743075372768e-13,946095.1797951641,-301.21889301246733,946396.3986881773,946095.168589363,946396.387482375,3646.868818757948,0.6
base_ramp_storage_envelopes_up_0_8_dn_0_8,5,0.0,0.0,0.0,-1.9628743075372768e-13,946552.4979070212,-433.60992524595,946986.1078322678,946552.4867012199,946986.0966264647,4924.651240539794,0.8
base_ramp_storage_envelopes_up_1_dn_1,5,0.0,0.0,0.0,-1.9628743075372768e-13,950484.5704288572,-558.6990975344065,951043.2695263921,950484.5592230557,951043.2583205891,5936.860776389453,1.0
base_ramp_storage_envelopes_up_0_dn_0,6,1.6,189.03301871537198,0.0,-2.007283228522283e-13,2.6816615173809985e6,1.890281700412074e6,791379.8169689226,791331.3198502773,791379.8065919221,231.35492509065287,0.0
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,0.05,3.7785014675465174,0.0,1.9081958235744878e-14,829036.2910541412,37656.474085219685,791379.8169689226,791251.2660016759,791379.8065919221,1217.854235646555,0.2
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,0.0,0.0,0.0,1.9081958235744878e-14,791132.0062269403,-247.81074198184885,791379.8169689226,791131.99584994,791379.8065919221,2413.6279471775088,0.4
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,0.0,0.0,0.0,1.9081958235744878e-14,791444.0248600605,-359.61615686249337,791803.641016924,791444.0144830603,791803.6306399242,3540.267761804221,0.6
base_ramp_storage_envelopes_up_0_8_dn_0_8,6,0.0,0.0,0.0,1.9081958235744878e-14,797076.8887459281,-467.86484933583995,797544.7535952632,797076.878368929,797544.743218264,4666.836349024018,0.8
base_ramp_storage_envelopes_up_1_dn_1,6,0.0,0.0,0.0,1.9081958235744878e-14,801436.7840586365,-567.4642780163489,802004.248336653,801436.7736816366,802004.237959653,5705.60571426324,1.0
base_ramp_storage_envelopes_up_0_dn_0,7,1.28,161.6905468406475,0.0,-1.7053025658242404e-13,2.324406165361407e6,1.616856514317168e6,707549.65104424,707500.6868533329,707549.6409426399,238.5965289870754,0.0
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,0.01,0.2268528565021093,0.0,-3.3795188869589765e-13,711898.3088204573,2149.7810761447936,709748.5277443135,709629.7701538363,709748.5176427132,1203.2320611207122,0.2
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,0.0,0.0,0.0,-3.3795188869589765e-13,710823.4729087828,-231.52594467360876,711054.9988534582,710823.4628071833,711054.988751858,2330.044084814596,0.4
base_ramp_storage_envelopes_up_0_6_dn_0_6,7,0.0,0.0,0.0,-3.3795188869589765e-13,713010.0562218238,-338.95425058373365,713349.0104724085,713010.0461202243,713349.0003708084,3404.327143917797,0.6
base_ramp_storage_envelopes_up_0_8_dn_0_8,7,0.0,0.0,0.0,-3.3795188869589765e-13,717974.4306755242,-446.89582883053345,718421.3265043552,717974.4205739243,718421.3164027547,4520.062518624571,0.8
base_ramp_storage_envelopes_up_1_dn_1,7,0.0,0.0,0.0,-3.3795188869589765e-13,723428.4647086628,-531.7356616842758,723960.200370347,723428.4546070627,723960.1902687468,5429.374156523615,1.0
