ρ,day,hour,iteration,imbalance_MW,imbalance_up_MW,imbalance_down_MW
0.0,7,154,demand_1,-120.24727600000006,0.0,120.24727600000006
0.0,7,155,demand_1,234.4661208749999,234.4661208749999,-0.0
0.0,7,156,demand_1,304.7992328,304.7992328,-0.0
0.0,7,157,demand_1,51.46958799999993,51.46958799999993,-0.0
0.0,7,158,demand_1,-52.508556000000226,0.0,52.508556000000226
0.0,7,159,demand_1,-116.55495400000018,0.0,116.55495400000018
0.0,7,160,demand_1,-41.42464699999982,0.0,41.42464699999982
0.0,7,161,demand_1,216.36015700000007,216.36015700000007,-0.0
0.0,7,162,demand_1,-57.41870400000016,0.0,57.41870400000016
0.0,7,163,demand_1,105.96931099999983,105.96931099999983,-0.0
0.0,7,164,demand_1,28.138762999999926,28.138762999999926,-0.0
0.0,7,165,demand_1,-261.18564182499995,0.0,261.18564182499995
0.0,7,166,demand_1,53.95178799999985,53.95178799999985,-0.0
0.0,7,167,demand_1,22.355352999999923,22.355352999999923,-0.0
0.0,7,168,demand_1,-99.1656539999999,0.0,99.1656539999999
0.1,7,145,demand_1,106.02253199999996,106.02253199999996,-0.0
0.1,7,146,demand_1,118.11736100000007,118.11736100000007,-0.0
0.1,7,147,demand_1,6.3602820000000975,6.3602820000000975,-0.0
0.1,7,148,demand_1,33.61258399999997,33.61258399999997,-0.0
0.1,7,149,demand_1,-58.696948999999904,0.0,58.696948999999904
0.1,7,150,demand_1,-5.2540469999999,0.0,5.2540469999999
0.1,7,151,demand_1,63.154395999999906,63.154395999999906,-0.0
0.1,7,152,demand_1,137.03349100000014,137.03349100000014,-0.0
0.1,7,153,demand_1,35.55402099999992,35.55402099999992,-0.0
0.1,7,154,demand_1,-97.41188300000022,0.0,97.41188300000022
0.1,7,155,demand_1,189.41982099999996,189.41982099999996,-0.0
0.1,7,156,demand_1,-152.37997799999994,0.0,152.37997799999994
0.1,7,157,demand_1,47.42095199999994,47.42095199999994,-0.0
0.1,7,158,demand_1,107.9252120000001,107.9252120000001,-0.0
0.1,7,159,demand_1,53.619710999999825,53.619710999999825,-0.0
0.1,7,160,demand_1,120.01143700000011,120.01143700000011,-0.0
0.1,7,161,demand_1,23.11114499999985,23.11114499999985,-0.0
0.1,7,162,demand_1,-13.204927000000225,0.0,13.204927000000225
0.1,7,163,demand_1,80.89840800000002,80.89840800000002,-0.0
0.1,7,164,demand_1,46.55467200000021,46.55467200000021,-0.0
0.1,7,165,demand_1,-76.69488899999988,0.0,76.69488899999988
0.1,7,166,demand_1,-104.91716099999985,0.0,104.91716099999985
0.1,7,167,demand_1,80.78558999999996,80.78558999999996,-0.0
0.1,7,168,demand_1,43.97689700000001,43.97689700000001,-0.0
0.2,7,145,demand_1,-67.47828400000003,0.0,67.47828400000003
0.2,7,146,demand_1,-96.274269,0.0,96.274269
0.2,7,147,demand_1,70.88744900000006,70.88744900000006,-0.0
0.2,7,148,demand_1,67.19945800000005,67.19945800000005,-0.0
0.2,7,149,demand_1,117.12040400000001,117.12040400000001,-0.0
0.2,7,150,demand_1,225.52960272500013,225.52960272500013,-0.0
0.2,7,151,demand_1,97.04760600000009,97.04760600000009,-0.0
0.2,7,152,demand_1,60.1298740000002,60.1298740000002,-0.0
0.2,7,153,demand_1,166.62227100000018,166.62227100000018,-0.0
0.2,7,154,demand_1,-40.41000500000018,0.0,40.41000500000018
0.2,7,155,demand_1,64.57254400000011,64.57254400000011,-0.0
0.2,7,156,demand_1,139.23845699999993,139.23845699999993,-0.0
0.2,7,157,demand_1,-211.98133199999984,0.0,211.98133199999984
0.2,7,158,demand_1,111.34505300000001,111.34505300000001,-0.0
0.2,7,159,demand_1,42.38164599999982,42.38164599999982,-0.0
0.2,7,160,demand_1,-63.787870999999996,0.0,63.787870999999996
0.2,7,161,demand_1,-71.39968899999985,0.0,71.39968899999985
0.2,7,162,demand_1,249.70403399999987,249.70403399999987,-0.0
0.2,7,163,demand_1,60.77911499999982,60.77911499999982,-0.0
0.2,7,164,demand_1,-152.71963300000016,0.0,152.71963300000016
0.2,7,165,demand_1,100.69848000000002,100.69848000000002,-0.0
0.2,7,166,demand_1,154.23664800000006,154.23664800000006,-0.0
0.2,7,167,demand_1,-16.493529999999964,0.0,16.493529999999964
0.2,7,168,demand_1,-36.65751799999998,0.0,36.65751799999998
0.3,7,145,demand_1,28.295976999999993,28.295976999999993,-0.0
0.3,7,146,demand_1,141.81034172500017,141.81034172500017,-0.0
0.3,7,147,demand_1,164.22305047500004,164.22305047500004,-0.0
0.3,7,148,demand_1,-12.216981999999916,0.0,12.216981999999916
0.3,7,149,demand_1,-119.51033299999995,0.0,119.51033299999995
0.3,7,150,demand_1,-43.6566949999999,0.0,43.6566949999999
0.3,7,151,demand_1,-61.212904999999864,0.0,61.212904999999864
0.3,7,152,demand_1,-98.63752599999998,0.0,98.63752599999998
0.3,7,153,demand_1,-145.89070200000015,0.0,145.89070200000015
