day,iteration,ρ,cumsum_imbalance_MW,cumsum_imbalance_up_MW,cumsum_imbalance_down_MW,cumsum_reserve_up_MW,cumsum_reserve_down_MW,up,down,net_up
7,demand_3,0.9,-2199.7279189593596,6.768294851219025,2206.4962138105784,4989.92485899817,5004.183902520532,0.0013563921386539476,0.4421902686233191,-0.40534070785230797
7,demand_3,0.99,-1015.6039297846548,14.565249603636858,1030.1691793882917,4399.522395965535,4068.1036846270567,0.003310643359150423,0.2341547756031384,-0.21182386816450646
7,demand_4,0.0,-181.03475413532806,748.5738527532815,929.6086068886095,5179.691802255158,5187.901467635773,0.14452092543949505,0.17947179916841235,-0.008026092800705603
7,demand_4,0.1,977.0429532867972,1546.9657692420535,569.9228159552563,5064.573946693578,5131.369439455269,0.3054483527191847,0.11253124585678763,0.22848033285434743
7,demand_4,0.2,78.26670950365951,977.7238247881626,899.4571152845031,5285.19966886969,5230.853534244208,0.18499278855007983,0.17018413146855885,0.04450971703814306
7,demand_4,0.3,498.07695360018147,1495.6744308847515,997.59747728457,5164.557586221062,5143.371611822016,0.2896035925468585,0.193162233285217,0.13707725901549
7,demand_4,0.4,-263.2761671390256,1004.3081978214891,1267.5843649605147,5195.564583564959,5095.170106943769,0.1933010708784951,0.24397432551800868,-0.014346519826029884
7,demand_4,0.5,1606.9471882066819,2049.5991667049525,442.65197849827064,5063.750721046981,5031.448043678632,0.40475909649066955,0.08741583124509492,0.3595329749182839
7,demand_4,0.6,-814.0712928395553,777.827570636385,1591.8988634759403,5117.007536517126,5269.592317063222,0.15200829099536772,0.31109957374803104,-0.12098520459235412
7,demand_4,0.7,-126.12374000988325,817.6875157991326,943.8112558090158,5272.016121924724,5078.445394261878,0.15509958560229303,0.17902283186957446,0.003885500769440416
7,demand_4,0.8,-696.5049371362472,722.4951680024128,1419.00010513866,5028.89951580698,5297.046840107661,0.14366864275801206,0.2821691108916411,-0.10343401380507937
7,demand_4,0.9,345.60965210176664,580.6067217635625,234.99706966179588,4989.92485899817,5004.183902520532,0.11635580458021792,0.047094310295681764,0.08314693515864442
7,demand_4,0.99,-2037.6639560255264,0.0,2037.6639560255264,4399.522395965535,4068.1036846270567,0.0,0.4631557184239162,-0.4261032609500029
7,demand_5,0.0,-203.0991123605852,1122.8495567491655,1325.9486691097507,5179.691802255158,5187.901467635773,0.21677922154756274,0.25598987733834916,0.00011890148737390796
7,demand_5,0.1,194.62471973615015,1042.4757044235746,847.8509846874244,5064.573946693578,5131.369439455269,0.2058368019493837,0.16740815587083024,0.06972015089164453
7,demand_5,0.2,204.31279301827794,976.6276491532099,772.3148561349319,5285.19966886969,5230.853534244208,0.18478538377757725,0.14612784843001053,0.066416057463496
7,demand_5,0.3,-926.5491127894238,336.5546388224984,1263.1037516119222,5164.557586221062,5143.371611822016,0.06516620895474563,0.24457153018912176,-0.15417297195361637
7,demand_5,0.4,-375.632695341204,696.849190668667,1072.481886009871,5195.564583564959,5095.170106943769,0.13412386266412665,0.2064225877207714,-0.04412197345949378
7,demand_5,0.5,-492.9002125485806,785.2876746565807,1278.1878872051614,5063.750721046981,5031.448043678632,0.15508023951349142,0.2524191962871512,-0.06366018285212321
7,demand_5,0.6,685.5755848174279,1380.5735767542456,694.9979919368177,5117.007536517126,5269.592317063222,0.2698009660728247,0.13582117809618582,0.16830643579588372
7,demand_5,0.7,535.5851218796784,1166.1434425585237,630.5583206788453,5272.016121924724,5078.445394261878,0.22119496898138932,0.11960477853179234,0.1303929178609568
7,demand_5,0.8,607.3023056514692,1322.3499515777894,715.0476459263202,5028.89951580698,5297.046840107661,0.26295016383233377,0.14218769805973694,0.15500271325496998
7,demand_5,0.9,-344.95703678196105,407.0356319828177,751.9926687647787,4989.92485899817,5004.183902520532,0.08157149525985817,0.15070220294174064,-0.049981357945686
7,demand_5,0.99,-217.19577671519846,104.98459195299847,322.18036866819693,4399.522395965535,4068.1036846270567,0.023862724746957033,0.07323075999423116,-0.04143455490452199
7,demand_6,0.0,111.63676902945394,1102.681338479524,991.04456945007,5179.691802255158,5187.901467635773,0.2128855114505912,0.19133272929840814,0.05537118410045496
7,demand_6,0.1,-59.93905243601739,1089.6807642609838,1149.6198166970012,5064.573946693578,5131.369439455269,0.21515743984198019,0.22699240425693334,0.02503377052055629
7,demand_6,0.2,-596.3243087061992,1016.2247795556125,1612.5490882618117,5285.19966886969,5230.853534244208,0.19227746220095893,0.3051065596934537,-0.07170079339519596
7,demand_6,0.3,-742.9996839565142,496.0318514355606,1239.0315353920748,5164.557586221062,5143.371611822016,0.09604537139037114,0.239910488886364,-0.11632050695983405
7,demand_6,0.4,-707.4088066219076,401.8190843943887,1109.2278910162963,5195.564583564959,5095.170106943769,0.07733886816948751,0.2134951597993985,-0.11235155987469932
7,demand_6,0.5,60.637890660377934,765.2206549052485,704.5827642448705,5063.750721046981,5031.448043678632,0.15111736281264482,0.13914246633751967,0.036246934026704515
7,demand_6,0.6,246.0564207973357,1456.7952277989782,1210.7388070016425,5117.007536517126,5269.592317063222,0.2846967133432328,0.2366107140474778,0.09177109236244303
7,demand_6,0.7,538.8610676890901,996.9573125449326,458.09624485584254,5272.016121924724,5078.445394261878,0.18910361605285841,0.0868920417277858,0.12560673036354403
7,demand_6,0.8,-1620.4766045801598,181.04716959483335,1801.5237741749932,5028.89951580698,5297.046840107661,0.03600134960457268,0.3582341958737478,-0.29044355845974723
7,demand_6,0.9,737.9900952847584,1011.6528217431246,273.66272645836625,4989.92485899817,5004.183902520532,0.2027390893309433,0.054843055595292005,0.16991296421205232
7,demand_6,0.99,3349.41181717727,3349.41181717727,-0.0,4399.522395965535,4068.1036846270567,0.7613125961692476,-0.0,0.8275136914883127
7,demand_7,0.0,170.70343475450045,1280.7471670840569,1110.0437323295564,5179.691802255158,5187.901467635773,0.2472631994294408,0.21430690757435808,0.07160199223750448
7,demand_7,0.1,349.22144419654364,1268.7515815101976,919.530137313654,5064.573946693578,5131.369439455269,0.2505149682607568,0.18156120277678478,0.10526257198965887
7,demand_7,0.2,-21.17186542684908,1038.8697902361546,1060.0416556630037,5285.19966886969,5230.853534244208,0.1965620705600193,0.20056794862580993,0.029131911786014944
7,demand_7,0.3,647.6455082119635,1419.8889706465945,772.243462434631,5164.557586221062,5143.371611822016,0.2749294488331063,0.14952751509538037,0.16127104353953953
7,demand_7,0.4,574.6439376162382,1553.7672534086926,979.1233157924544,5195.564583564959,5095.170106943769,0.29905647950632697,0.18845368968941287,0.15168399625348686
7,demand_7,0.5,-667.6838210210433,832.6487277144643,1500.3325487355075,5063.750721046981,5031.448043678632,0.1644331985485861,0.2962887850105897,-0.09385394465693159
7,demand_7,0.6,-1175.9191281380947,337.8562599276231,1513.7753880657178,5117.007536517126,5269.592317063222,0.0660261407700767,0.29583215917951605,-0.20039804212985407
7,demand_7,0.7,1213.4832567286724,1414.279787335931,200.79653060725855,5272.016121924724,5078.445394261878,0.26826165827801024,0.038087237588710396,0.2565485004162236
7,demand_7,0.8,1341.1541004879778,1593.6256113122727,252.4715108242949,5028.89951580698,5297.046840107661,0.31689350847101705,0.05020412717150527,0.2982616687315815
7,demand_7,0.9,-2344.3697237773576,29.43094329440737,2373.8006670717646,4989.92485899817,5004.183902520532,0.005898073443197347,0.4757187200506971,-0.43125027305186164
7,demand_7,0.99,-796.5323576179921,369.08446220766655,1165.6168198256587,4399.522395965535,4068.1036846270567,0.08389193848544234,0.2649416720538931,-0.15255944863149212
7,demand_8,0.0,-920.2324220051353,505.2824914463015,1425.5149134514368,5179.691802255158,5187.901467635773,0.09755068655364964,0.27521230371868644,-0.14716196447157232
7,demand_8,0.1,-829.2791784625413,571.7464745066325,1401.0256529691737,5064.573946693578,5131.369439455269,0.11289132719246775,0.2766324803854108,-0.13179391761493905
7,demand_8,0.2,-617.2738774571656,1070.148004250953,1687.4218817081185,5285.19966886969,5230.853534244208,0.20248014669232323,0.31927306202775796,-0.07364410109562082
7,demand_8,0.3,-50.78111133106586,887.2312121973009,938.0123235283668,5164.557586221062,5143.371611822016,0.1717922972849439,0.18162491324154564,0.019635837736195257
7,demand_8,0.4,-685.9608423130182,1177.3546379762086,1863.3154802892268,5195.564583564959,5095.170106943769,0.22660764177593218,0.35863580373602144,-0.08363228533286568
7,demand_8,0.5,628.025464759136,1105.3770574759149,477.3515927167789,5063.750721046981,5031.448043678632,0.21829215503866017,0.0942683830648918,0.15054716914406058
7,demand_8,0.6,1305.1400568775034,1606.125730650469,300.9856737729656,5117.007536517126,5269.592317063222,0.3138798837383916,0.0588206430467426,0.2870587950691615
7,demand_8,0.7,-2121.9368455331733,159.13126276647745,2281.0681082996507,5272.016121924724,5078.445394261878,0.030184138114581736,0.43267472169012855,-0.36525189817819903
7,demand_8,0.8,1024.5788299092394,1677.3059237314442,652.7270938222048,5028.89951580698,5297.046840107661,0.33353339402771687,0.1297952149909805,0.24312470006451192
7,demand_8,0.9,2005.4666365103894,2432.1875047997205,426.72086828933107,4989.92485899817,5004.183902520532,0.48741966533099906,0.08551649180044048,0.4511288115990284
7,demand_8,0.99,-555.9411765685531,113.27297623986715,669.2141528084203,4399.522395965535,4068.1036846270567,0.025746652942087785,0.15211063669595257,-0.1119562934319201
7,demand_9,0.0,-734.3488829376424,535.3471415358063,1269.6960244734487,5179.691802255158,5187.901467635773,0.10335501840142773,0.2451296472737321,-0.11317686418593385
7,demand_9,0.1,-696.2297622090584,580.3133001084218,1276.5430623174802,5064.573946693578,5131.369439455269,0.11458284669479078,0.2520533959526596,-0.107342551782109
7,demand_9,0.2,413.9896844402897,1599.5311531944565,1185.5414687541668,5285.19966886969,5230.853534244208,0.30264346730660746,0.2243134683703843,0.12259189964990669
7,demand_9,0.3,-616.105749326545,727.5464449395458,1343.6521942660909,5164.557586221062,5143.371611822016,0.14087294657738458,0.260167917935687,-0.08623171648193577
7,demand_9,0.4,182.03855689152397,1021.4880331961106,839.4494763045866,5195.564583564959,5095.170106943769,0.19660770581648937,0.16157040544929474,0.06505925504805031
7,demand_9,0.5,120.1476699781515,734.3532809604483,614.2056109822968,5063.750721046981,5031.448043678632,0.14502160975424425,0.12129459857283488,0.04604115382847477
7,demand_9,0.6,-910.0376163389742,654.335561957258,1564.3731782962323,5117.007536517126,5269.592317063222,0.12787465277071478,0.3057203193726421,-0.14226850602857555
7,demand_9,0.7,1473.3271848576087,1745.7083575423635,272.3811726847548,5272.016121924724,5078.445394261878,0.33112727980525125,0.05166546656638695,0.31238872706897963
7,demand_9,0.8,-808.2710486919009,860.68762753909,1668.958676230991,5028.89951580698,5297.046840107661,0.17114830487937813,0.3318735383328047,-0.11929288909294326
7,demand_9,0.9,1894.3974070490876,1928.5627426876742,34.16533563858661,4989.92485899817,5004.183902520532,0.38649133948579595,0.0068468637512601755,0.4138001673986189
7,demand_9,0.99,3796.719400733183,3796.719400733183,-0.0,4399.522395965535,4068.1036846270567,0.8629844467242317,-0.0,0.9380265725263387
7,demand_10,0.0,-275.85725234073834,758.0001482639341,1033.8574006046724,5179.691802255158,5187.901467635773,0.14634078188472768,0.19959824639654175,-0.02456431941881008
