hour,resource,configuration,day,production_MW
184,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
185,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
186,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.7868119999999976
187,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
188,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
189,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
190,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
191,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.7868119999999976
192,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
169,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.7963280000000001
170,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.794132
171,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.7919359999999998
172,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.78974
173,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.7868120000000118
174,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
175,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.7868119999999976
176,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
177,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
178,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
179,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
180,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
181,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786811999999827
182,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
183,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
184,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
185,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
186,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
187,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
188,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
189,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.7868119999999976
190,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
191,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.7868119999999976
192,small_hydroelectric,base_ramp_storage_envelopes_up_0_dn_0,7,1.786812
169,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.7963280000000001
170,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.794132
171,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.7919359999999998
172,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.78974
173,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.7868120000000118
174,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
175,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
176,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.7868119999999834
177,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
178,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.7868119999999976
179,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786811999999827
180,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
181,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
182,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786811999999827
183,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
184,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
185,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
186,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.7868119999999976
187,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
188,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
189,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
190,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
191,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.7868119999999976
192,small_hydroelectric,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,1.786812
169,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
170,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
171,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
172,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
173,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
174,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
175,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
176,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
177,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
178,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
179,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
180,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
181,hydroelectric_pumped_storage,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,42.069
