configuration,day,r_id,mu,SOE_MWh,SOC
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,106,0.2,663.195212100536,0.47135409530954847
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,107,0.2,611.4063559999996,0.4825622383583266
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,108,0.2,376.40544643097314,0.4295885031168375
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,109,0.2,638.3036063385663,0.4551184358920258
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,110,0.2,199.09293309703173,0.15782238057632328
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,101,0.2,253.7269880641764,0.29147270311795115
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,102,0.2,441.0453714996104,0.34152498954592675
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,103,0.2,320.2090710862396,0.39439471743594084
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,104,0.2,729.6691531873171,0.45635696615630644
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,105,0.2,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,106,0.2,579.4922665756841,0.41186372890951356
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,107,0.2,631.4980280000013,0.4984199116022107
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,108,0.2,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,109,0.2,626.6692665152312,0.44682300642797407
base_ramp_storage_envelopes_up_0_2_dn_0_2,6,110,0.2,272.5041292299384,0.21601595658338366
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,101,0.2,276.78702599912117,0.3179632693844001
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,102,0.2,479.16729912569514,0.3710448343857024
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,103,0.2,310.05770438258673,0.38189149449758086
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,104,0.2,748.7983856010455,0.46832096166179576
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,105,0.2,505.37048075886565,0.4391852618048725
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,106,0.2,541.9605269864097,0.38518871854044767
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,107,0.2,595.405768011833,0.46993351855708965
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,108,0.2,316.3065509061336,0.36099811790245745
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,109,0.2,652.5522803415096,0.46527791824706743
base_ramp_storage_envelopes_up_0_2_dn_0_2,7,110,0.2,504.3784669915822,0.399824389212511
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,101,0.4,61.97828515515238,0.0711984895521567
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,102,0.4,411.7596215297453,0.31884746904889716
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,103,0.4,336.56455999999963,0.41453942603768956
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,104,0.4,728.4464799999992,0.4555922696854091
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,105,0.4,530.6712228713591,0.4611725235694449
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,106,0.4,521.2856707315636,0.37049443548796224
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,107,0.4,568.6775022549992,0.44883780762036385
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,108,0.4,106.85625250902974,0.12195417999204493
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,109,0.4,498.6640551337137,0.35555369349997484
base_ramp_storage_envelopes_up_0_4_dn_0_4,1,110,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,101,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,102,0.4,442.2779036827196,0.34247940505089053
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,103,0.4,1.992684853411312,0.0024543476455367846
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,104,0.4,604.7543700345904,0.378231515438482
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,105,0.4,549.6951546836264,0.4777050097189761
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,106,0.4,671.2015808029105,0.4770444781825963
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,107,0.4,418.64190069607923,0.33041981112555596
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,108,0.4,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,109,0.4,486.0835601966924,0.34658364363400557
base_ramp_storage_envelopes_up_0_4_dn_0_4,2,110,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,101,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,102,0.4,238.5466454390929,0.18471940950835763
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,103,0.4,204.91874400000003,0.2523940682350048
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,104,0.4,665.4992909028953,0.4162232102713713
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,105,0.4,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,106,0.4,636.9470601614903,0.45269869236779736
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,107,0.4,242.23984398464015,0.19119166849616434
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,108,0.4,354.52119147065264,0.4046121792634709
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,109,0.4,662.8551544644996,0.47262399605311783
base_ramp_storage_envelopes_up_0_4_dn_0_4,3,110,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,101,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,102,0.4,358.74249291784764,0.2777934744601573
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,103,0.4,313.5852960000009,0.3862363542308173
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,104,0.4,732.1110236517848,0.4578841851596629
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,105,0.4,12.680938100679073,0.011020194751611236
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,106,0.4,622.8904242010686,0.44270819061909605
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,107,0.4,463.8314160000004,0.3660863583267565
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,108,0.4,351.99303473290894,0.4017268143493593
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,109,0.4,692.077521681917,0.4934599085076053
base_ramp_storage_envelopes_up_0_4_dn_0_4,4,110,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,101,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,102,0.4,260.88525461756325,0.2020173878097906
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,103,0.4,158.47787553943638,0.19519383611212748
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,104,0.4,642.1729148933097,0.40163419531759886
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,105,0.4,504.3302395474026,0.4382812544950053
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,106,0.4,585.0007150566236,0.4157787598128096
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,107,0.4,413.46901998154283,0.32633703234533845
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,108,0.4,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,109,0.4,612.0296189619189,0.43638475505306223
base_ramp_storage_envelopes_up_0_4_dn_0_4,5,110,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,101,0.4,51.23155710758566,0.05885302367327472
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,102,0.4,489.6927152841965,0.37919522633126646
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,103,0.4,380.0010401029382,0.4680392167790833
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,104,0.4,446.75128870231197,0.27941165094897263
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,105,0.4,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,106,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,107,0.4,633.5,0.5
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,108,0.4,236.6731959481255,0.27011321153632206
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,109,0.4,614.6104945882961,0.43822495157810687
base_ramp_storage_envelopes_up_0_4_dn_0_4,6,110,0.4,325.10236269699385,0.2577109494229041
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,101,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,102,0.4,535.4677053824361,0.4146412462307859
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,103,0.4,237.54389775687005,0.2925777777520259
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,104,0.4,629.5835192035734,0.39376040978395843
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,105,0.4,534.9201261873458,0.4648649745262412
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,106,0.4,540.1888381212334,0.3839295224742235
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,107,0.4,419.43723494420834,0.33104754139242965
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,108,0.4,401.22238400000043,0.45791187400136885
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,109,0.4,566.454190654891,0.4038889059927932
base_ramp_storage_envelopes_up_0_4_dn_0_4,7,110,0.4,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,101,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,102,0.6,151.81733393767718,0.11756027097543514
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,103,0.6,78.12822857387964,0.09622888111082586
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,104,0.6,419.0078511594817,0.26206007327505204
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,105,0.6,549.7727547698601,0.4777724470060486
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,106,0.6,480.3291614885656,0.3413853315483766
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,107,0.6,478.95808399999873,0.3780253228097864
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,108,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,109,0.6,407.1178944967984,0.29028013867864383
base_ramp_storage_envelopes_up_0_6_dn_0_6,1,110,0.6,60.10258657953551,0.0476437467931316
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,101,0.6,25.517444125947787,0.029313548680008954
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,102,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,103,0.6,256.2507400403181,0.3156185983992082
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,104,0.6,74.17977413815794,0.0463942548865833
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,105,0.6,394.951449471841,0.3432271221620236
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,106,0.6,74.99520678377492,0.05330149735875978
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,107,0.6,596.2085347284806,0.47056711501853227
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,108,0.6,180.50492415915545,0.20600881552060707
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,109,0.6,701.25,0.5
base_ramp_storage_envelopes_up_0_6_dn_0_6,2,110,0.6,45.23825875055383,0.0358606886647275
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,101,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,102,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,103,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,104,0.6,484.2718771805792,0.30287815196733875
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,105,0.6,257.27646436811506,0.22358257092909997
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,106,0.6,512.9848174684398,0.3645947529981804
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,107,0.6,505.5828364236368,0.3990393341938728
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,108,0.6,325.78960211035445,0.37182104783194986
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,109,0.6,302.7682132571788,0.21587751390886126
base_ramp_storage_envelopes_up_0_6_dn_0_6,3,110,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,101,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,102,0.6,120.22751656120325,0.09309858801394096
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,103,0.6,325.53631514244967,0.4009561708861304
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,104,0.6,592.6522643521971,0.3706624956859067
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,105,0.6,392.066816979411,0.3407202719904498
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,106,0.6,110.2553735926304,0.07836202813975145
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,107,0.6,148.51522596746196,0.11721801575963876
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,108,0.6,308.50457321791686,0.35209378363149574
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,109,0.6,331.98541527072297,0.23670974350853732
base_ramp_storage_envelopes_up_0_6_dn_0_6,4,110,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,101,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,102,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,103,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,104,0.6,343.63497472076136,0.2149196164367769
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,105,0.6,312.4487078079772,0.27152924985485094
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,106,0.6,582.5856363016045,0.41406228592864436
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,107,0.6,203.59780671540256,0.16069282297979684
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,108,0.6,410.6002855994731,0.4686147975342076
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,109,0.6,595.1606419167166,0.4243569639334887
base_ramp_storage_envelopes_up_0_6_dn_0_6,5,110,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,101,0.6,32.82070084863549,0.0377032749553537
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,102,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,103,0.6,299.3343549771824,0.36868377260399404
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,104,0.6,757.5284100634079,0.4737809807138708
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,105,0.6,318.22741061700896,0.2765511520092199
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,106,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,107,0.6,633.5,0.5
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,108,0.6,0.0,0.0
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,109,0.6,435.3352485994864,0.31039946424205933
base_ramp_storage_envelopes_up_0_6_dn_0_6,6,110,0.6,193.21614111350092,0.15316380587673517
